artist_id,artist_name,why
148749,"Nature Sounds",before_classif
13974583,"Jazz Relax",before_classif
8512250,"Nature Académie",before_classif
1171451,"Electronic Music",before_classif
665971,"Relaxation Ensemble",before_classif
13730535,"Instrumental Soon",before_classif
4849520,"",before_classif
5152752,"Musique Zen Garden",before_classif
14612473,"Zen Musique Détente",before_classif
11850469,"Guérir L'insomnie Académie",before_classif
95626962,"Bethoven Masterpieces",before_classif
6757017,"Hollywood Hits",before_classif
13450043,"Chansons de Noël et Chants de Noël",before_classif
9712754,"Zen Shiatsu Musique de Massage Spa Unité",before_classif
14119633,"Sieste Illimitée",before_classif
84870002,"Musique Zen!",before_classif
10313524,"Buddhist méditation académie",before_classif
1461006,"Bien Dormir",before_classif
1019883,"Relaxing Zen Nature",before_classif
82231542,"",before_classif
9105008,"Nature des sons de guérison collection",before_classif
7661734,"Musique Douce Academy",before_classif
12414930,"Yoga Flow",before_classif
3595391,"Anti Stress",before_classif
378507,"Relaxing Music",before_classif
102314042,"Sleep Deeply Brown Noise",before_classif
1360235,"Sleeping Music",before_classif
4086775,"Smooth Jazz All Stars",before_classif
651387,"Friday Night At The Movies",before_classif
326220,"50 Tubes Au Top",before_classif
1416434,"The Beatles Recovered Band",before_classif
364062,"Relaxation Big Band",before_classif
77225192,"Musique Classique Maestro Mozy",before_classif
8693734,"Sérénité Océan",before_classif
97781,"Joyeux Anniversaire",before_classif
1615255,"Le Monde d'Hugo",before_classif
115060,"Biosphere: Nature Sounds & Music",before_classif
1936951,"Musical Spa - Massage Music",before_classif
74965762,"Musique Pour Faire Dormir Bébé",before_classif
12828999,"Sleep Baby Sleep Music",before_classif
52408222,"Musique Calme et Relaxation",before_classif
1459747,"Sacrée Soirée",before_classif
4401681,"Music Factory",before_classif
51450732,"Disney Peaceful Piano",before_classif
1376693,"Musical Mania",before_classif
1534484,"Le Meilleur des Tubes en Karaoke",before_classif
1187560,"Massage Therapy Music",before_classif
10411336,"Piano bar musique masters",before_classif
7764034,"Piano Bar Music Experts",before_classif
439030,"",before_classif
163315937,"Ambient Gate Music",before_classif
9846472,"El hada de las canciones de cuna",before_classif
4337827,"Musica Para Meditación Profunda",before_classif
5018530,"Maher Shakhashero",before_classif
1382074,"Abdul Rahman Al Sudais",before_classif
4585991,"Emmanuel Music",before_classif
50992852,"Music Body and Spirit",before_classif
10069836,"Hillsong En Français",before_classif
2047421,"Abderrahman Soudais",before_classif
4088024,"Dangerous Minds Music from the Motion Picture",before_classif
1313282,"Sheikh Maher Al Muaiqly",before_classif
65403952,"Omar Hisham",before_classif
10200920,"Caracol Televisión",before_classif
10466017,"Muhammad Al Muqit",before_classif
7262662,"Communauté De L'emmanuel",before_classif
13102817,"Petit Papa Noël",before_classif
4325843,"Maher El Muaiqli",before_classif
1389928,"Tabata Songs",before_classif
1518489,"WWE",before_classif
5062319,"Dorothée Pousséo",before_classif
5529186,"Sheikh Mishary Rashid Alfasay",before_classif
6576739,"Nounours",before_classif
4390413,"Maher al Muaiqly",before_classif
13200837,"KALLY'S Mashup Cast",before_classif
651061,"Karaoké Playback Français",before_classif
104565652,"Julie and the Phantoms Cast",before_classif
11786839,"Baby Mozart",before_classif
11516921,"La La Land Cast",before_classif
13513859,"Soft Sexy Guitar - Chill out Background Instrumental Music Songs, Ibiza Chill out Party, Relaxing Mindfulness Meditation Relaxation Maestro",before_classif
88072992,"HeyKids Comptine Pour Bébé",before_classif
462157,"Done Again",before_classif
4088420,"Le silence des Mosquées",before_classif
5994572,"Abdul Rahman Al Sodais",before_classif
250294,"The Last Samurai",before_classif
3196301,"Mishary Al Afasy",before_classif
12872923,"Berceuse Pour Bébé",before_classif
53747532,"Chantant Des Enfants",before_classif
1517905,"Sleep Sounds of Nature",before_classif
269805,"Céline Dion, Jean-Jacques Goldman",before_classif
301885,"Ciao Italia !",before_classif
434058,"Benny Hinn",before_classif
13795,"Dr. Dre, Snoop Doggy Dogg",before_classif
367346,"Zafè Chô",before_classif
90491362,"Mishary Rashid Al-Afasy",before_classif
157114942,"TELL YOUR STORY music by Ikson™",before_classif
139079,"Limo",before_classif
94221,"Studio Allstars",before_classif
99395,"Rayan",before_classif
52861042,"Salim Bahanan",before_classif
110307,"Jane Winther",before_classif
371840,"The Party Band",before_classif
133492,"Esteban",before_classif
11821739,"Relaxation mentale",before_classif
14392,"Le Groupe Apollo",before_classif
100322,"Daoudi",before_classif
83515,"A.m.p.",before_classif
64485682,"Al Sheikh Maher Al Muaiqly",before_classif
283643,"Jamie Llewellyn",before_classif
458683,"Agrupación Reggaeton",before_classif
96717,"Ágata",before_classif
12790909,"Elvis Presley",before_classif
89780,"Ambiente",before_classif
309391,"Buddha Bar",before_classif
52773332,"Chœurs - Bambi",before_classif
4547677,"Piano 101",before_classif
1597184,"Baby Music",before_classif
1955681,"Sleep Music Lullabies",before_classif
4513987,"The Yoga Mantra and Chant Music Project",before_classif
52773092,"Chœurs - Peter Pan",before_classif
52827172,"Nutolina",before_classif
10315220,Relax musica zen club,before_classif
11822875,Méditation guidée zen sanctuaire,before_classif
10276672,Zone de la musique zen,before_classif
11870845,Exercices à zen musique douce,before_classif
76587,Kastelruther Spatzen,before_classif
10611425,Oasis de musique jazz relaxant,before_classif
12463216,Jazz relaxant acadèmie,before_classif
7858366,Lounge relax,before_classif
11004310,Tubes années 60,before_classif
12130574,Tubes des années 90,before_classif
14495103,Top 40 des années 80,before_classif
5288305,Le meilleur des années 80,before_classif
11019232,Le meilleur des années 60,before_classif
14390863,Tubes années 80,before_classif
60992002,Comptines Pour Enfants,before_classif
60992002,Comptines Pour Enfants,before_classif
11535399,Le meilleur de la pop française,before_classif
11996914,Le meilleur de la chanson française,before_classif
57751572,Little Baby Bum Comptines Amis,before_classif
73039182,Jazz Chat Louis Comptines,before_classif
6464589,Pro Sound Effects Library,before_classif
14117275,"Zen Meditation and Natural White Noise and New Age Deep Massage, Relaxing Mindfulness Meditation Relaxation Maestro, Deep Relaxation Meditation Academy",before_classif
1346859,Meditation,before_classif
1108979,"Natural White Noise - Music for Sleep, Relaxation, Meditation",before_classif
6785983,Nirvana Meditation School Master,before_classif
4548771,Satori Meditation,before_classif
1350952,Meditation Masters,before_classif
13501107,"Best Café Chillout Mix, Lullaby Land, Sounds of Nature White Noise for Mindfulness Meditation and Relaxation",before_classif
1427838,Baby Lullaby,before_classif
4545425,Baby Lullaby & Baby Lullaby,before_classif
98765012,Lullaby Time,before_classif
12785881,"Ambient Music Therapy (Deep Sleep, Meditation, Spa, Healing, Relaxation), All Night Sleeping Songs to Help You Relax",before_classif
86672752,Sleep Sounds Ambient Noises,before_classif
9248554,Sleepy Times,before_classif
11480248,Binaural Beats Sleep,before_classif
4590652,"Raining White Noise Sleep Sound: Increase Focus, Concentration, Privacy - Heal Migraines, Headaches, Tinnitus with Raind",before_classif
67304522,White Noise Radiance,before_classif
57345682,Workout Gymnastic Training,before_classif
148654,Prestige Collection,before_classif
104890062,Sleeping Clouds,before_classif
1288956,Jive Ass Sleepers,before_classif
1493493,Chorus - Sleeping Beauty,before_classif
9119162,Sleep Harmony,before_classif
62765932,ASMR Sleep Sound Project,before_classif
6876827,Asmr,before_classif
108818202,Alinea Asmr,before_classif
152608732,Alteanne ASMR,before_classif
92102142,Tina ASMR,before_classif
74383812,Colomba ASMR,before_classif
68978402,ASMR Earth,before_classif
126317162,Rendez-Vous ASMR,before_classif
74048772,Roxane ASMR,before_classif
106623152,Thildou ASMR,before_classif
113629872,Asmr with Sasha,before_classif
108481082,ASMR HANNA,before_classif
1947411,Sleep Baby Sleep,before_classif
1938471,All Night Sleeping Songs to Help You Relax,before_classif
67304552,Spa Radiance,before_classif
1351006,Spa & Spa,before_classif
7174966,Tranquility Spa Universe,before_classif
12611511,Spa de Luxe,before_classif
51693862,Hotel Spa,before_classif
84866142,Zen Spa Zen Relaxation Zen Massage,before_classif
7692928,Sauna Spa Paradise,before_classif
7579676,Healing Oriental Spa Collection,before_classif
7860808,Meditation Mantras Guru,before_classif
13412547,Nu Meditation Music,before_classif
1937691,Relaxation and Meditation,before_classif
1947721,Meditation Spa,before_classif
6941307,Mindfulness Meditation Music Spa Maestro,before_classif
11539825,Powerthoughts Meditation Club,before_classif
4323334,Music for Deep Meditation,before_classif
384495,Party Tyme Karaoke,before_classif
321401,The Karaoke Channel,before_classif
4770049,ProSource Karaoke,before_classif
4314993,Ameritz Countdown Karaoke,before_classif
4958150,Singer's Edge Karaoke,before_classif
5424973,Mega Tracks Karaoke Band,before_classif
1484380,Ameritz - Karaoke,before_classif
1440439,Ameritz Audio Karaoke,before_classif
1350978,Relaxing Piano Music Masters,before_classif
11899521,"Relaxing Spa Music Zone, Tranquil Music Sound of Nature, Sleep Songs with Nature Sounds",before_classif
1937391,Relaxing Instrumental Jazz Ensemble,before_classif
1939461,Relaxing With Sounds of Nature and Spa Music Natural White Noise Sound Therapy,before_classif
13724975,"All Night Sleeping Songs to Help You Relax, Relaxing Instrumental Jazz Academy, Exam Study Classical Music Orchestra",before_classif
11832131,Relaxing Piano Crew,before_classif
798891,Relaxing Piano Music,before_classif
138259192,Berceuses Piano,before_classif
11177990,Berceuses Radio Doudou,before_classif
49589712,Berceuse Pour Bébé Yin et Jan,before_classif
81019312,HIIT BPM,before_classif
255205,TV Themes,before_classif
1225015,Génériques De Séries Télé / TV,before_classif
11936665,Cafe Les Costessey Club Dj Chillout,before_classif
12055520,Cafe Latino Dance Club,before_classif
49887992,Cafe Jazz Saint Germain,before_classif
4235601,Vintage Cafe,before_classif
1398854,Bossa Cafe en Ibiza,before_classif
9136894,Lounge Bar Ibiza,before_classif
9977156,New York Lounge Jazz,before_classif
97899902,Jazz Lounge Bar Ambiance,before_classif
6852639,Buddha Hotel Ibiza Lounge Bar Music DJ,before_classif
13168503,"Chillout Lounge, Tropical House & Ibiza Lounge",before_classif
49009581,Jazz Lounge Bar,before_classif
10178762,Chillout Lounge Relax,before_classif
4890449,Jazz Lounge Music Club Chicago,before_classif
50449042,Chillout Lounge From I’m In Records,before_classif
122111,Jazz Lounge,before_classif
126993,Lounge Café,before_classif
7846064,Deep House Lounge,before_classif
1517831,Saint Tropez Radio Lounge Chillout Music Club,before_classif
8972460,Ibiza Deep House Lounge,before_classif
141087,New York Lounge Quartett,before_classif
5152754,Lounge Détente Vague,before_classif
1685137,Brazilian Lounge Project,before_classif
13499687,"Buddha Spirit Ibiza Chillout Lounge Bar Music Dj, Sax Chill out, Chillout Jazz Collective",before_classif
4545448,Yoga Trainer,before_classif
62336182,The Yoga Studio,before_classif
4545255,Yoga Club,before_classif
14286277,Yoga Musique Prime,before_classif
1517858,Salutation au Soleil École Yoga,before_classif
7573170,Tantra Yoga Masters,before_classif
356730,American Country Hits,before_classif
1853751,Chart Hits Allstars,before_classif
651026,Hits Variété Pop,before_classif
7991432,DJ Hits,before_classif
7366796,Rock Classic Hits AllStars,before_classif
1451984,Hits Des Ventes,before_classif
1234417,80s Greatest Hits,before_classif
1234431,70s Greatest Hits,before_classif
6306930,Charts Hits,before_classif
14705177,Best of 90s Hits,before_classif
14120191,Dormir Profondément Prime Musique,before_classif
4811195,"Musique De Relaxation, Bruit Blanc, Bébé, Sommeil, Bébés, Nouveau Né, Aide Au Sommeil, Musique Pour Dormir & Sons De Pluie",before_classif
9102878,Détente bébé dormir chansons,before_classif
12873307,Canciones De Cuna Para Dormir Bebes,before_classif
1486536,,before_classif
70486352,,before_classif
112878022,,before_classif
153243,,before_classif
891376,,before_classif
